sampling_rate,delta,starttime,endtime,npts,network,station,location,channel,mseed,_format,dep,olon,olat,otime,slon,slat,selv,back_azimuth,azimuth,repi,rhyp,p_time,s_time,wstart,wend,lower-f-bound,upper-f-bound,pass_snr,llpsp,llpsp-stderr,fc,fc-stderr,ts,ts-stderr,aic,bic,chisqr,redchi,pass_fitting
100.0,0.01,2014-06-03T01:28:20.898000Z,2014-06-03T01:28:41.358000Z,2047,UU,BRPU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 19, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9728})",PICKLE,1.17,-111.237,39.443,2014-06-03T01:28:08.920000Z,-110.74,39.473,1687.0,265.705468669,85.3896178005,42.9038121878,42.9988319521,2014-06-03T01:28:16.086472Z,2014-06-03T01:28:21.604021Z,2014-06-03T01:28:21.902266Z,2014-06-03T01:28:40.362266Z,0.59457370376,3.56196868537,True,-6.97810293756,0.0707155698404,1.55071350019,0,0.0718156654459,0.02737064947,-83.083859026,-80.8128705942,0.521648899181,0.0248404237705,True
100.0,0.01,2014-06-03T01:28:25.958000Z,2014-06-03T01:28:46.318000Z,2037,UU,CVRU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 18, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9216})",PICKLE,1.17,-111.237,39.443,2014-06-03T01:28:08.920000Z,-111.1716,38.9176,1912.0,354.487080171,174.445762444,58.6024316337,58.6834194418,2014-06-03T01:28:18.700570Z,2014-06-03T01:28:26.230743Z,2014-06-03T01:28:26.957726Z,2014-06-03T01:28:45.317726Z,0.505272076339,14.2060551588,True,-7.2736611327,0.0633943463635,1.55071350019,0,0.0242683317013,0.00821911189001,-106.152574058,-102.677234822,3.04953549884,0.076238387471,True
100.0,0.01,2014-06-03T01:28:28.420000Z,2014-06-03T01:28:50.070000Z,2166,UU,SRU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 16, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 8192})",PICKLE,1.17,-111.237,39.443,2014-06-03T01:28:08.920000Z,-110.523827,39.110828,1804.0,301.158423004,120.706929862,71.741689657,71.8033057097,2014-06-03T01:28:20.887218Z,2014-06-03T01:28:30.100916Z,2014-06-03T01:28:29.419547Z,2014-06-03T01:28:49.069547Z,0.59457370376,15.4103923691,True,-7.35583882188,0.0297658245708,1.55071350019,0,0.0258082813262,0.00351529782906,-167.5031315,-164.075987366,0.625357907838,0.0160348181497,True
100.0,0.01,2014-06-03T01:28:13.340000Z,2014-06-03T01:28:31.840000Z,1851,UU,TMU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 27, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 13824})",PICKLE,1.17,-111.237,39.443,2014-06-03T01:28:08.920000Z,-111.20817,39.2965,2731.0,351.32454796,171.306260429,16.4534493858,16.9095770998,2014-06-03T01:28:11.738263Z,2014-06-03T01:28:13.908076Z,2014-06-03T01:28:14.341095Z,2014-06-03T01:28:30.841095Z,0.505272076339,13.0958380774,True,-6.09805385522,0.053818000426,1.55071350019,0,0.0505475582822,0.00747896183358,-118.936278706,-115.509134573,2.04444476608,0.0524216606687,True
100.0,0.01,2014-10-04T03:01:20.448000Z,2014-10-04T03:01:41.058000Z,2062,UU,CVRU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 20, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 10240})",PICKLE,8.82,-111.431,38.965,2014-10-04T03:01:12.990000Z,-111.1716,38.9176,1912.0,283.250654311,103.087615036,23.0968433204,25.4684117166,2014-10-04T03:01:17.234735Z,2014-10-04T03:01:20.502806Z,2014-10-04T03:01:21.445999Z,2014-10-04T03:01:40.055999Z,0.758972949729,13.0958380774,True,-7.28471815251,0.0653499735663,2.99516051143,0,0.0765422256728,0.00851646322374,-99.7134847822,-96.5464469053,2.01897267562,0.0593815492829,True
100.0,0.01,2014-10-04T03:01:36.000000Z,2014-10-04T03:01:56.750000Z,2076,UU,SRU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 14, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 7168})",PICKLE,8.82,-111.431,38.965,2014-10-04T03:01:12.990000Z,-110.523827,39.110828,1804.0,258.639266727,78.0678901711,80.1939042366,80.8945712191,2014-10-04T03:01:26.472429Z,2014-10-04T03:01:36.852705Z,2014-10-04T03:01:37.004678Z,2014-10-04T03:01:55.754678Z,1.34155257575,3.28359735471,True,-8.01012245957,0.111108133341,2.99516051143,0,0.119389837582,0.0359416583883,-52.6696532583,-51.6998399587,0.106718104856,0.0106718104856,True
100.0,0.01,2014-10-04T03:01:15.920000Z,2014-10-04T03:01:32.080000Z,1617,UU,WPUT,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 26, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 13312})",PICKLE,8.82,-111.431,38.965,2014-10-04T03:01:12.990000Z,-111.3589,38.9975,2618.0,240.015482969,59.9701273025,7.21441279133,13.5231503698,2014-10-04T03:01:15.243858Z,2014-10-04T03:01:16.979130Z,2014-10-04T03:01:16.915603Z,2014-10-04T03:01:31.075603Z,0.758972949729,11.1289168271,True,-5.80065033501,0.0704420752986,2.99516051143,0,0.137642696157,0.0105044017488,-93.08762766,-90.0349066108,1.95588360663,0.0611213627071,True
100.0,0.01,2014-09-18T07:32:10.788000Z,2014-09-18T07:32:31.518000Z,2074,UU,CVRU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 17, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 8704})",PICKLE,-0.35,-111.389,38.983,2014-09-18T07:32:05.400000Z,-111.1716,38.9176,1912.0,291.137558049,111.000890279,20.195906146,20.2562205028,2014-09-18T07:32:08.776037Z,2014-09-18T07:32:11.375286Z,2014-09-18T07:32:11.785362Z,2014-09-18T07:32:30.515362Z,0.699658472649,15.4103923691,True,-7.03525331896,0.0637126688663,7.32567976099,0,0.114985980401,0.00734036698244,-103.75949777,-100.432374478,2.46082731603,0.0665088463792,True
100.0,0.01,2014-09-18T07:32:26.290000Z,2014-09-18T07:32:47.810000Z,2153,UU,SRU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 15, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 7680})",PICKLE,-0.35,-111.389,38.983,2014-09-18T07:32:05.400000Z,-110.523827,39.110828,1804.0,259.543906293,78.9988783172,76.2295353806,76.243400897,2014-09-18T07:32:18.107233Z,2014-09-18T07:32:27.890679Z,2014-09-18T07:32:27.292334Z,2014-09-18T07:32:46.812334Z,0.548107188272,10.2591811109,True,-7.75356804238,0.0513015307823,7.32567976099,0,0.13335761216,0.00865044604736,-118.345261937,-115.123426112,1.35566107237,0.0387331734964,True
100.0,0.01,2014-09-18T07:32:06.300000Z,2014-09-18T07:32:25.080000Z,1879,UU,WPUT,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 22, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 11264})",PICKLE,-0.35,-111.389,38.983,2014-09-18T07:32:05.400000Z,-111.3589,38.9975,2618.0,238.323723796,58.3047852328,3.06461913542,3.81257320522,2014-09-18T07:32:06.035429Z,2014-09-18T07:32:06.524653Z,2014-09-18T07:32:07.295730Z,2014-09-18T07:32:24.075730Z,0.644979479868,18.1340202564,True,-5.59790303122,0.0674470127851,7.32567976099,0,0.163578172201,0.0068504561218,-100.948000361,-97.4726611244,3.45184097592,0.0862960243979,True
