sampling_rate,delta,starttime,endtime,npts,network,station,location,channel,mseed,_format,dep,olon,olat,otime,slon,slat,selv,back_azimuth,azimuth,repi,rhyp,p_time,s_time,wstart,wend,lower-f-bound,upper-f-bound,pass_snr,llpsp,llpsp-stderr,fc,fc-stderr,ts,ts-stderr,aic,bic,chisqr,redchi,pass_fitting
100.0,0.01,2015-07-19T09:46:22.965000Z,2015-07-19T09:46:41.945000Z,1899,NN,SPR3,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 16, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 8192})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-114.331398,38.998901,2815.0,89.8702455712,271.666809735,247.420857064,247.473105075,2015-07-19T09:45:55.155518Z,2015-07-19T09:46:26.910916Z,2015-07-19T09:46:23.965376Z,2015-07-19T09:46:40.945376Z,0.968828481275,13.0958380774,True,-7.57433682891,0.061494584882,2.02035366883,0.315862197852,0.0726720355036,0.00765189511061,-139.468567778,-134.979045094,0.40186829997,0.013395609999,True
100.0,0.01,2015-07-19T09:45:37.128393Z,2015-07-19T09:45:57.788393Z,2067,UU,BRPU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 22, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 11264})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-110.74,39.473,1687.0,228.87387059,48.4084796368,84.6781517003,84.7705563529,2015-07-19T09:45:28.038426Z,2015-07-19T09:45:38.916064Z,2015-07-19T09:45:38.128300Z,2015-07-19T09:45:56.788300Z,0.336375454776,37.7186287983,True,-6.77021940806,0.0493443740449,3.07771702883,0.428916867712,0.0272985570286,0.00329387296484,-183.559958893,-177.430805089,2.04917639508,0.03794771102,True
100.0,0.01,2015-07-19T09:46:17.590000Z,2015-07-19T09:46:37.620000Z,2004,UU,CCUT,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 15, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 7680})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-113.362701,37.550598,2127.0,45.7834233734,226.951877042,228.146630515,228.188997597,2015-07-19T09:45:51.941500Z,2015-07-19T09:46:21.222389Z,2015-07-19T09:46:18.594300Z,2015-07-19T09:46:36.624300Z,1.05096220365,10.2591811109,True,-7.73511619353,0.167307028886,1.11311011104,0.32489943114,0.0152493860654,0.0108363543905,-118.729508843,-114.627621353,0.393088022522,0.015118770097,True
100.0,0.01,2015-07-19T09:46:08.175000Z,2015-07-19T09:46:28.185000Z,2002,UU,CTU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 19, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9728})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-111.75034,40.6925,1731.0,172.915309978,353.091050894,192.79795515,192.839465647,2015-07-19T09:45:46.049911Z,2015-07-19T09:46:10.794798Z,2015-07-19T09:46:09.170309Z,2015-07-19T09:46:27.180309Z,0.699658472649,7.40886867531,True,-7.1210457819,0.182255605109,0.895377967719,0.319522673558,0.00656844395933,0.0211431209636,-107.932461402,-103.728869257,0.672635748262,0.0249124351208,True
100.0,0.01,2015-07-19T09:45:50.292000Z,2015-07-19T09:46:11.582000Z,2130,UU,HMU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 21, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 10752})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-110.7418,37.938,2430.0,330.979752233,150.523146084,131.167071598,131.251250171,2015-07-19T09:45:35.785208Z,2015-07-19T09:45:52.627183Z,2015-07-19T09:45:51.292986Z,2015-07-19T09:46:10.582986Z,0.59457370376,13.0958380774,True,-6.55385666434,0.0367517243198,5.55622924395,1.72121098525,0.109174106495,0.0162732639904,-146.441982602,-141.451297663,0.782542426769,0.0217372896325,True
100.0,0.01,2015-07-19T09:46:04.730000Z,2015-07-19T09:46:25.710000Z,2099,UU,JLU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 18, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9216})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-111.44995,40.60195,2285.0,180.71349619,0.696824708807,181.321027907,181.378232393,2015-07-19T09:45:44.139705Z,2015-07-19T09:46:07.413903Z,2015-07-19T09:46:05.726484Z,2015-07-19T09:46:24.706484Z,0.59457370376,13.0958380774,True,-7.04044157011,0.0552722136682,1.16811677205,0.129825968449,0.0689832825001,0.00516194220762,-177.02094085,-172.030255912,0.357263029546,0.00992397304295,True
100.0,0.01,2015-07-19T09:46:22.780000Z,2015-07-19T09:46:42.380000Z,1961,UU,KNB,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 19, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9728})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-112.822,37.0166,1715.0,28.2042622883,209.032953714,246.856512488,246.888675282,2015-07-19T09:45:55.058113Z,2015-07-19T09:46:26.738518Z,2015-07-19T09:46:23.780477Z,2015-07-19T09:46:41.380477Z,0.893113589503,8.03696536592,True,-7.82858993524,,1.58010067146,,0.00074601559754,,-105.025290206,-101.028676676,0.531004689801,0.0212401875921,True
100.0,0.01,2015-07-19T09:45:47.620000Z,2015-07-19T09:46:07.870000Z,2026,UU,MPU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 24, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 12288})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-111.63333,40.0155,1909.0,173.305775238,353.405837224,116.973080189,117.047706214,2015-07-19T09:45:33.417951Z,2015-07-19T09:45:48.437347Z,2015-07-19T09:45:48.615407Z,2015-07-19T09:46:06.865407Z,1.14005892151,14.2060551588,True,-7.22325342402,0.0819289125143,2.53091768865,0.638663214009,0.0264845945041,0.0109431507573,-126.444280834,-122.047073125,0.510100316667,0.017589666092,True
100.0,0.01,2015-07-19T09:45:47.338391Z,2015-07-19T09:46:08.298391Z,2097,UU,MTPU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 16, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 8192})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-112.1843,38.0415,3112.0,30.746962919,211.187958765,120.071603256,120.192162109,2015-07-19T09:45:33.942027Z,2015-07-19T09:45:49.364915Z,2015-07-19T09:45:48.342626Z,2015-07-19T09:46:07.302626Z,0.82331589045,18.1340202564,True,-7.26252454024,0.075627677851,2.9988052856,0.858091691244,0.0557419462524,0.0112238383878,-132.309930137,-127.319245198,1.12429163672,0.0312303232421,True
100.0,0.01,2015-07-19T09:45:49.195000Z,2015-07-19T09:46:08.805000Z,1962,UU,NLU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 18, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9216})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-112.075,39.95483,2036.0,154.589305379,334.97002512,120.982445728,121.059050922,2015-07-19T09:45:34.086508Z,2015-07-19T09:45:49.620634Z,2015-07-19T09:45:50.197222Z,2015-07-19T09:46:07.807222Z,0.59457370376,18.1340202564,True,-6.87738830331,0.0583262741387,2.20699522624,0.344087413254,0.0686617294406,0.0068490618211,-146.2107455,-140.927145153,1.24784159726,0.0311960399314,True
