# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
4.169e+12,2.380,0.164,0.095,3,2012-12-09T10:38:17.05
1.528e+12,2.090,0.152,0.108,2,2012-12-09T20:06:21.93
1.617e+12,2.106,0.000,0.000,1,2012-12-10T14:10:45.87
5.245e+12,2.447,0.000,0.000,1,2012-12-11T19:15:40.29
1.653e+13,2.779,0.173,0.048,13,2012-12-13T00:24:56.01
9.463e+13,3.284,0.000,0.000,1,2012-12-14T17:33:15.46
2.277e+13,2.872,0.264,0.066,16,2012-12-16T04:39:26.72
7.712e+11,1.891,0.000,0.000,1,2012-12-18T02:34:13.49
6.612e+11,1.847,0.124,0.062,4,2012-12-19T01:50:01.81
8.610e+11,1.923,0.161,0.072,5,2012-12-20T03:48:50.35
8.227e+11,1.910,0.112,0.035,10,2012-12-26T05:34:14.24
1.025e+12,1.974,0.000,0.000,1,2012-12-26T10:09:18.71
3.597e+12,2.337,0.288,0.109,7,2012-12-27T01:39:03.93
4.424e+12,2.397,0.155,0.069,5,2012-12-27T10:04:21.87
1.585e+12,2.100,0.000,0.000,1,2012-12-27T16:08:42.08
8.627e+11,1.924,0.132,0.093,2,2012-12-28T11:03:33.14
2.716e+11,1.589,0.000,0.000,1,2012-12-29T04:19:15.02
3.143e+12,2.298,0.106,0.075,2,2012-12-29T07:20:47.05
1.652e+12,2.112,0.176,0.056,10,2012-12-29T20:50:11.02
2.886e+11,1.607,0.000,0.000,1,2012-12-31T14:05:54.27
2.923e+11,1.611,0.000,0.000,1,2013-01-01T21:22:03.55
1.040e+13,2.645,0.225,0.060,14,2013-01-01T21:32:19.29
3.375e+13,2.986,0.595,0.421,2,2013-01-02T04:56:45.10
1.859e+12,2.146,0.000,0.000,1,2013-01-02T23:52:40.99
1.277e+12,2.037,0.234,0.166,2,2013-01-07T12:33:11.76
6.604e+13,3.180,0.193,0.041,22,2013-01-07T15:36:43.07
4.204e+12,2.383,0.235,0.105,5,2013-01-08T20:20:11.29
5.115e+12,2.439,0.297,0.094,10,2013-01-08T22:22:17.64
1.475e+13,2.746,0.000,0.000,1,2013-01-08T22:23:10.10
2.504e+11,1.566,0.000,0.000,1,2013-01-09T13:04:48.23
2.404e+12,2.221,0.134,0.067,4,2013-01-10T04:03:27.50
5.555e+12,2.463,0.445,0.222,4,2013-01-11T23:21:02.09
1.416e+13,2.734,0.224,0.050,20,2013-01-13T22:23:58.58
2.188e+12,2.193,0.000,0.000,1,2013-01-14T08:07:39.20
2.031e+12,2.172,0.000,0.000,1,2013-01-14T08:09:44.75
2.057e+12,2.176,0.150,0.050,9,2013-01-14T14:32:59.22
5.238e+12,2.446,0.073,0.042,3,2013-01-14T20:49:40.30
1.069e+13,2.653,0.205,0.057,13,2013-01-18T08:16:33.11
4.267e+12,2.387,0.124,0.056,5,2013-01-18T08:25:35.38
3.817e+12,2.355,0.120,0.042,8,2013-01-18T08:43:22.83
3.240e+12,2.307,0.155,0.089,3,2013-01-18T15:46:07.54
8.682e+12,2.592,0.143,0.041,12,2013-01-19T02:35:17.08
3.474e+12,2.327,0.119,0.084,2,2013-01-19T22:45:10.84
1.159e+13,2.676,0.069,0.049,2,2013-01-20T19:33:28.81
3.761e+11,1.684,0.000,0.000,1,2013-01-20T19:52:21.05
5.495e+12,2.460,0.000,0.000,1,2013-01-20T22:00:53.69
6.155e+12,2.493,0.193,0.079,6,2013-01-20T22:56:32.28
3.408e+12,2.322,0.187,0.084,5,2013-01-20T23:36:30.46
4.648e+12,2.412,0.000,0.000,1,2013-01-20T23:47:34.18
1.122e+13,2.667,0.000,0.000,1,2013-01-20T23:53:15.25
3.200e+12,2.303,0.000,0.000,1,2013-01-20T23:58:16.69
1.410e+13,2.733,0.160,0.053,9,2013-01-21T00:09:25.64
2.546e+13,2.904,0.000,0.000,1,2013-01-21T01:33:26.14
