# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
4.923e+11,1.762,0.131,0.053,6,2013-02-25T04:06:23.54
2.253e+12,2.202,0.069,0.034,4,2013-03-08T14:29:00.00
1.911e+12,2.154,0.136,0.068,4,2013-03-09T01:43:44.14
6.568e+11,1.845,0.174,0.078,5,2013-03-12T06:26:50.16
2.745e+12,2.259,0.118,0.068,3,2013-03-12T21:50:16.71
3.669e+12,2.343,0.185,0.083,5,2013-03-13T22:46:17.86
1.148e+12,2.007,0.246,0.082,9,2013-03-16T01:28:34.41
6.667e+12,2.516,0.124,0.071,3,2013-03-19T19:17:28.98
2.485e+12,2.230,0.166,0.096,3,2013-03-21T07:02:26.37
7.042e+12,2.532,0.127,0.073,3,2013-03-21T20:03:43.55
2.664e+12,2.250,0.000,0.000,1,2013-03-21T23:09:26.45
4.374e+12,2.394,0.000,0.000,1,2013-03-26T01:03:22.08
2.429e+12,2.224,0.130,0.075,3,2013-03-26T03:23:25.96
1.828e+12,2.141,0.137,0.079,3,2013-03-26T04:01:55.05
1.899e+12,2.152,0.145,0.103,2,2013-03-26T05:27:19.38
2.242e+12,2.201,0.000,0.000,1,2013-03-26T05:52:02.18
5.269e+12,2.448,0.000,0.000,1,2013-03-26T16:12:52.99
3.269e+12,2.310,0.152,0.076,4,2013-03-27T00:42:29.11
1.827e+12,2.141,0.200,0.100,4,2013-03-27T02:16:50.08
7.800e+11,1.895,0.444,0.222,4,2013-03-27T03:41:52.54
2.858e+12,2.271,0.141,0.100,2,2013-03-27T05:00:42.86
1.365e+12,2.057,0.130,0.075,3,2013-03-27T06:07:49.14
2.088e+12,2.180,0.219,0.126,3,2013-03-27T06:23:32.66
3.994e+12,2.368,0.130,0.092,2,2013-03-28T15:10:14.97
9.830e+11,1.962,0.161,0.114,2,2013-03-28T20:47:41.54
1.280e+12,2.038,0.236,0.167,2,2013-03-28T21:42:21.21
1.048e+12,1.980,0.256,0.148,3,2013-03-30T09:20:00.44
3.909e+12,2.361,0.200,0.060,11,2013-03-31T11:31:08.66
3.555e+11,1.667,0.087,0.062,2,2013-04-02T00:49:15.08
3.565e+12,2.335,0.009,0.006,2,2013-04-04T19:54:50.50
4.949e+12,2.430,0.083,0.048,3,2013-04-04T20:17:00.41
3.889e+12,2.360,0.155,0.055,8,2013-04-05T10:10:01.22
1.809e+12,2.138,0.013,0.009,2,2013-04-06T07:12:29.23
1.202e+12,2.020,0.120,0.040,9,2013-04-07T05:46:35.00
2.312e+12,2.209,0.185,0.107,3,2013-04-08T14:16:16.00
3.135e+12,2.298,0.000,0.000,1,2013-04-09T01:08:34.31
1.846e+12,2.144,0.142,0.071,4,2013-04-09T04:33:27.46
1.567e+12,2.097,0.136,0.096,2,2013-04-09T04:50:25.23
1.502e+12,2.085,0.140,0.081,3,2013-04-09T07:38:29.20
7.481e+12,2.549,0.119,0.084,2,2013-04-09T15:37:44.95
1.315e+12,2.046,0.211,0.149,2,2013-04-09T19:20:01.58
1.011e+12,1.970,0.274,0.193,2,2013-04-09T22:42:03.08
1.476e+12,2.080,0.143,0.083,3,2013-04-10T02:47:25.37
2.207e+12,2.196,0.158,0.091,3,2013-04-10T03:02:58.15
1.435e+12,2.071,0.140,0.081,3,2013-04-10T03:14:47.21
9.065e+11,1.938,0.129,0.064,4,2013-04-10T05:02:50.49
8.367e+11,1.915,0.216,0.152,2,2013-04-10T07:54:03.80
6.996e+12,2.530,0.110,0.078,2,2013-04-10T15:39:04.60
2.883e+12,2.273,0.219,0.155,2,2013-04-10T17:21:44.70
1.364e+12,2.057,0.194,0.137,2,2013-04-10T17:26:19.74
2.262e+12,2.203,0.000,0.000,1,2013-04-10T18:33:03.71
2.961e+12,2.281,0.000,0.000,1,2013-04-10T18:43:05.34
1.795e+12,2.136,0.094,0.066,2,2013-04-10T18:51:08.27
5.845e+12,2.478,0.132,0.093,2,2013-04-10T20:51:24.21
2.356e+12,2.215,0.134,0.095,2,2013-04-10T23:08:00.93
8.646e+11,1.925,0.251,0.178,2,2013-04-10T23:23:56.90
1.576e+12,2.098,0.143,0.072,4,2013-04-11T01:22:55.50
3.442e+12,2.325,0.105,0.074,2,2013-04-11T01:50:40.14
2.117e+12,2.184,0.079,0.046,3,2013-04-11T07:02:02.18
9.067e+11,1.938,0.126,0.073,3,2013-04-11T07:11:02.80
3.077e+12,2.292,0.150,0.086,3,2013-04-11T13:42:46.28
8.203e+10,1.243,0.000,0.000,1,2013-04-11T14:16:55.34
3.478e+12,2.328,0.144,0.102,2,2013-04-11T16:55:03.46
3.522e+12,2.331,0.122,0.071,3,2013-04-11T17:55:20.28
2.334e+13,2.879,0.085,0.060,2,2013-04-11T18:30:10.69
4.117e+12,2.376,0.140,0.099,2,2013-04-11T19:10:53.79
3.260e+12,2.309,0.096,0.068,2,2013-04-11T19:49:53.15
1.608e+12,2.104,0.000,0.000,1,2013-04-11T20:25:35.22
2.201e+12,2.195,0.152,0.108,2,2013-04-11T22:43:17.95
2.582e+12,2.241,0.139,0.098,2,2013-04-11T23:07:38.66
7.618e+12,2.555,0.222,0.157,2,2013-04-11T23:11:22.23
2.693e+12,2.253,0.149,0.106,2,2013-04-12T01:20:49.05
1.322e+12,2.048,0.168,0.097,3,2013-04-12T03:45:45.00
2.373e+12,2.217,0.196,0.113,3,2013-04-12T03:54:06.31
3.014e+12,2.286,0.148,0.086,3,2013-04-12T06:37:12.66
1.144e+12,2.006,0.158,0.092,3,2013-04-12T08:04:49.06
2.143e+12,2.187,0.119,0.084,2,2013-04-12T16:28:54.44
1.269e+13,2.702,0.000,0.000,1,2013-04-12T17:37:00.50
3.694e+11,1.678,0.047,0.033,2,2013-04-12T21:36:07.64
1.397e+12,2.063,0.134,0.078,3,2013-04-13T11:43:54.04
8.148e+11,1.907,0.155,0.078,4,2013-04-15T16:02:02.66
2.992e+12,2.284,0.180,0.127,2,2013-04-15T16:16:19.97
8.394e+12,2.583,0.000,0.000,1,2013-04-15T17:21:22.49
2.996e+11,1.618,0.000,0.000,1,2013-04-15T19:08:55.61
8.960e+11,1.935,0.119,0.084,2,2013-04-15T20:17:40.00
3.375e+12,2.319,0.147,0.104,2,2013-04-15T21:34:56.37
4.499e+12,2.402,0.028,0.020,2,2013-04-15T23:58:10.81
5.454e+11,1.791,0.134,0.067,4,2013-04-16T01:07:23.19
3.003e+12,2.285,0.126,0.063,4,2013-04-16T01:07:23.97
4.358e+12,2.393,0.131,0.065,4,2013-04-16T01:32:57.75
2.032e+12,2.172,0.061,0.043,2,2013-04-16T02:16:14.02
6.165e+11,1.827,0.138,0.069,4,2013-04-16T03:25:02.24
2.087e+12,2.180,0.178,0.080,5,2013-04-16T09:34:39.40
1.204e+12,2.020,0.194,0.112,3,2013-04-16T10:45:25.17
6.257e+12,2.498,0.149,0.105,2,2013-04-16T15:41:07.11
8.566e+11,1.922,0.008,0.006,2,2013-04-16T16:18:50.10
1.182e+12,2.015,0.193,0.136,2,2013-04-16T16:54:11.50
1.352e+12,2.054,0.155,0.110,2,2013-04-16T20:04:52.21
1.108e+12,1.996,0.345,0.199,3,2013-04-16T23:28:07.30
2.579e+12,2.241,0.000,0.000,1,2013-04-16T23:46:58.86
1.870e+12,2.148,0.131,0.076,3,2013-04-17T01:52:24.31
4.183e+12,2.381,0.000,0.000,1,2013-04-17T03:07:46.70
1.707e+12,2.121,0.141,0.100,2,2013-04-17T03:59:18.63
8.050e+11,1.904,0.139,0.070,4,2013-04-17T05:32:41.13
8.643e+11,1.924,0.258,0.182,2,2013-04-17T06:35:25.00
1.091e+12,1.992,0.099,0.057,3,2013-04-17T07:23:30.26
8.223e+11,1.910,0.005,0.004,2,2013-04-17T09:59:49.10
1.127e+12,2.001,0.241,0.139,3,2013-04-17T10:08:24.97
2.385e+12,2.218,0.019,0.013,2,2013-04-17T21:01:07.51
3.062e+12,2.291,0.107,0.076,2,2013-04-17T22:19:49.99
2.336e+12,2.212,0.103,0.060,3,2013-04-18T00:10:36.02
2.107e+12,2.182,0.513,0.363,2,2013-04-18T03:56:39.93
5.245e+12,2.447,0.152,0.076,4,2013-04-18T03:59:38.26
3.193e+12,2.303,0.132,0.066,4,2013-04-18T04:59:35.78
2.397e+12,2.220,0.168,0.084,4,2013-04-18T05:35:02.52
4.562e+11,1.739,0.176,0.102,3,2013-04-18T10:24:53.86
2.884e+12,2.273,0.128,0.057,5,2013-04-18T12:16:39.62
3.700e+12,2.346,0.000,0.000,1,2013-04-18T15:53:18.05
1.583e+12,2.100,0.075,0.053,2,2013-04-18T20:48:26.41
7.796e+12,2.561,0.061,0.043,2,2013-04-18T21:33:33.02
4.369e+12,2.394,0.000,0.000,1,2013-04-18T21:50:26.41
2.121e+12,2.184,0.071,0.050,2,2013-04-18T23:15:11.90
1.801e+12,2.137,0.158,0.112,2,2013-04-19T02:32:35.14
1.134e+13,2.670,0.391,0.276,2,2013-04-19T05:43:31.19
2.257e+12,2.202,0.126,0.063,4,2013-04-19T08:11:02.92
2.163e+12,2.190,0.000,0.000,1,2013-04-19T17:09:51.53
2.701e+12,2.254,0.142,0.101,2,2013-04-22T00:50:03.11
1.282e+12,2.039,0.159,0.112,2,2013-04-22T10:38:22.03
3.380e+12,2.319,0.000,0.000,1,2013-04-22T16:38:19.06
3.822e+12,2.355,0.000,0.000,1,2013-04-22T20:04:58.21
4.021e+12,2.370,0.000,0.000,1,2013-04-22T20:17:06.70
2.497e+12,2.232,0.321,0.227,2,2013-04-23T01:58:56.49
5.209e+12,2.445,0.090,0.052,3,2013-04-23T06:48:36.36
1.233e+12,2.027,0.169,0.119,2,2013-04-23T08:36:31.01
1.682e+12,2.117,0.175,0.124,2,2013-04-23T15:54:32.91
4.100e+12,2.375,0.000,0.000,1,2013-04-23T18:28:58.35
1.966e+12,2.162,0.069,0.049,2,2013-04-24T01:07:37.87
9.021e+12,2.604,0.218,0.126,3,2013-04-24T01:12:48.29
1.789e+12,2.135,0.186,0.107,3,2013-04-24T03:04:08.53
9.995e+11,1.967,0.182,0.091,4,2013-04-24T04:42:55.51
2.102e+12,2.182,0.215,0.124,3,2013-04-24T04:57:52.65
1.535e+12,2.091,0.142,0.082,3,2013-04-24T05:01:16.37
3.173e+12,2.301,0.203,0.117,3,2013-04-24T05:40:08.82
2.363e+12,2.216,0.202,0.101,4,2013-04-24T07:01:09.99
1.807e+12,2.138,0.217,0.125,3,2013-04-24T09:47:57.71
4.190e+12,2.382,0.325,0.133,6,2013-04-24T14:31:56.82
2.106e+12,2.182,0.080,0.057,2,2013-04-24T15:49:47.68
1.544e+12,2.093,0.121,0.085,2,2013-04-24T16:03:01.08
1.333e+12,2.050,0.171,0.121,2,2013-04-24T17:14:41.79
1.308e+12,2.045,0.165,0.117,2,2013-04-24T17:30:32.99
1.152e+12,2.008,0.206,0.145,2,2013-04-24T19:03:53.38
2.414e+12,2.222,0.153,0.108,2,2013-04-24T19:56:56.06
1.578e+12,2.099,0.160,0.113,2,2013-04-24T20:41:50.32
3.423e+12,2.323,0.119,0.059,4,2013-04-24T21:24:45.40
1.975e+12,2.164,0.202,0.143,2,2013-04-24T22:38:54.08
3.441e+12,2.324,0.142,0.082,3,2013-04-25T00:36:14.97
1.788e+12,2.135,0.173,0.123,2,2013-04-25T02:05:43.67
1.556e+12,2.095,0.152,0.108,2,2013-04-25T02:10:30.58
7.754e+11,1.893,0.135,0.096,2,2013-04-25T03:15:56.80
6.376e+11,1.836,0.025,0.014,3,2013-04-25T05:17:27.10
1.371e+12,2.058,0.173,0.122,2,2013-04-25T05:35:35.38
1.588e+12,2.101,0.195,0.138,2,2013-04-25T05:43:12.58
1.008e+13,2.636,0.198,0.099,4,2013-04-25T06:05:16.57
2.563e+12,2.239,0.140,0.099,2,2013-04-25T07:07:59.25
2.409e+12,2.221,0.160,0.113,2,2013-04-25T15:31:48.18
5.429e+12,2.456,0.000,0.000,1,2013-04-25T17:03:56.80
1.436e+12,2.071,0.286,0.202,2,2013-04-25T17:52:19.55
9.328e+11,1.947,0.207,0.147,2,2013-04-25T19:37:46.53
1.526e+12,2.089,0.142,0.100,2,2013-04-25T20:01:20.00
2.654e+12,2.249,0.000,0.000,1,2013-04-25T20:07:10.16
8.380e+12,2.582,0.150,0.086,3,2013-04-25T21:12:43.58
1.093e+12,1.993,0.242,0.171,2,2013-04-25T23:17:52.87
2.943e+12,2.279,0.000,0.000,1,2013-04-25T23:54:44.39
1.574e+12,2.098,0.163,0.115,2,2013-04-26T00:52:56.99
3.538e+12,2.333,0.202,0.101,4,2013-04-26T01:27:41.78
2.374e+12,2.217,0.000,0.000,1,2013-04-26T01:44:57.39
1.417e+12,2.068,0.144,0.083,3,2013-04-26T02:02:05.77
2.846e+12,2.270,0.135,0.078,3,2013-04-26T02:38:53.29
7.923e+11,1.899,0.136,0.096,2,2013-04-26T03:02:05.19
2.454e+12,2.227,0.115,0.057,4,2013-04-26T03:32:25.07
1.390e+12,2.062,0.191,0.111,3,2013-04-26T04:30:22.41
1.833e+12,2.142,0.149,0.086,3,2013-04-26T08:21:56.07
2.638e+12,2.248,0.151,0.087,3,2013-04-26T09:17:16.96
2.066e+12,2.177,0.188,0.109,3,2013-04-26T10:31:14.74
6.964e+12,2.529,0.100,0.058,3,2013-04-26T16:03:21.96
8.311e+11,1.913,0.240,0.120,4,2013-04-28T11:51:06.53
4.859e+12,2.424,0.134,0.067,4,2013-04-29T10:53:41.83
